id,chinese_name,scientific_name,family,origin,bloom_period,batch
1,雏菊,Bellis perennis,菊科雏菊属,欧洲,3-6月,1
2,蒲公英,Taraxacum mongolicum,菊科蒲公英属,北半球温带,3-5月,1
3,玫瑰,Rosa rugosa,蔷薇科蔷薇属,中国东北/朝鲜,5-7月,1
4,向日葵,Helianthus annuus,菊科向日葵属,北美洲,7-9月,1
5,郁金香,Tulipa gesneriana,百合科郁金香属,中亚,3-5月,1
6,月季,Rosa chinensis,蔷薇科蔷薇属,中国,4-9月,1
7,茉莉花,Jasminum sambac,木犀科素馨属,印度/阿拉伯,5-10月,1
8,百合,Lilium brownii,百合科百合属,中国/日本,5-8月,1
9,康乃馨,Dianthus caryophyllus,石竹科石竹属,地中海地区,4-9月,1
10,兰花(春兰),Cymbidium goeringii,兰科兰属,中国,2-4月,1
11,牡丹,Paeonia suffruticosa,芍药科芍药属,中国,4-5月,2
12,菊花,Chrysanthemum morifolium,菊科菊属,中国,9-11月,2
13,杜鹃,Rhododendron simsii,杜鹃花科杜鹃花属,中国/东南亚,3-5月,2
14,栀子花,Gardenia jasminoides,茜草科栀子属,中国/日本,5-7月,2
15,绣球花,Hydrangea macrophylla,绣球花科绣球属,中国/日本,6-8月,2
16,山茶花,Camellia japonica,山茶科山茶属,中国/日本,1-4月,2
17,水仙,Narcissus tazetta,石蒜科水仙属,地中海地区,1-3月,2
18,风信子,Hyacinthus orientalis,天门冬科风信子属,地中海东部,3-4月,2
19,长寿花,Kalanchoe blossfeldiana,景天科伽蓝菜属,马达加斯加,1-4月,2
20,蝴蝶兰,Phalaenopsis aphrodite,兰科蝴蝶兰属,东南亚,4-6月,2
21,三角梅,Bougainvillea glabra,紫茉莉科叶子花属,南美洲,3-6月,3
22,桂花,Osmanthus fragrans,木犀科木犀属,中国,9-10月,3
23,米兰,Aglaia odorata,楝科米仔兰属,中国南部/东南亚,5-9月,3
24,君子兰,Clivia miniata,石蒜科君子兰属,南非,3-5月,3
25,仙人掌,Opuntia dillenii,仙人掌科仙人掌属,美洲热带/亚热带,5-7月,3
26,多肉(玉露),Haworthia cooperi,芦荟科十二卷属,南非,夏季,3
27,绿萝,Epipremnum aureum,天南星科麒麟叶属,所罗门群岛,观叶植物,3
28,吊兰,Chlorophytum comosum,天门冬科吊兰属,南非,5-6月,3
29,虎皮兰,Sansevieria trifasciata,天门冬科虎尾兰属,非洲西部,观叶植物,3
30,发财树,Pachira aquatica,锦葵科瓜栗属,中美洲/南美洲,5-10月,3
31,文竹,Asparagus setaceus,天门冬科天门冬属,南非,观叶植物,4
32,富贵竹,Dracaena sanderiana,天门冬科龙血树属,中非/东南亚,观叶植物,4
33,红掌,Anthurium andraeanum,天南星科花烛属,哥伦比亚/厄瓜多尔,全年,4
34,白掌,Spathiphyllum kochii,天南星科苞叶芋属,美洲热带,5-10月,4
35,常春藤,Hedera helix,五加科常春藤属,欧洲/亚洲,观叶植物,4
36,龟背竹,Monstera deliciosa,天南星科龟背竹属,墨西哥热带雨林,观叶植物,4
37,万年青,Rohdea japonica,天门冬科万年青属,中国/日本,5-6月,4
38,滴水观音,Alocasia macrorrhizos,天南星科海芋属,东南亚,观叶植物,4
39,铜钱草,Hydrocotyle vulgaris,五加科天胡荽属,欧洲/亚洲,6-8月,4
40,薄荷,Mentha haplocalyx,唇形科薄荷属,北半球温带,7-9月,4
41,薰衣草,Lavandula angustifolia,唇形科薰衣草属,地中海地区,6-8月,4
42,迷迭香,Rosmarinus officinalis,唇形科迷迭香属,地中海地区,全年,4
43,太阳花,Portulaca grandiflora,马齿苋科马齿苋属,南美洲,6-9月,4
44,牵牛花,Ipomoea nil,旋花科番薯属,南美洲,7-9月,4
45,紫藤,Wisteria sinensis,豆科紫藤属,中国,4-5月,4
46,凌霄花,Campsis grandiflora,紫葳科凌霄属,中国中部/东部,5-8月,4
47,木槿,Hibiscus syriacus,锦葵科木槿属,东亚,7-10月,4
48,芙蓉,Hibiscus mutabilis,锦葵科木槿属,中国,8-11月,4
49,美人蕉,Canna indica,美人蕉科美人蕉属,美洲热带,6-10月,4
50,鸢尾,Iris tectorum,鸢尾科鸢尾属,中国/日本,4-6月,4
51,芍药,Paeonia lactiflora,芍药科芍药属,中国/蒙古,5-6月,4
52,海棠,Mimus spectabilis,蔷薇科苹果属,中国,3-4月,4
53,梅花,Prunus mume,蔷薇科李属,中国,1-3月,4
54,夹竹桃,Nerium oleander,夹竹桃科夹竹桃属,地中海地区,6-10月,4
